excel_row_number,orgname,filiing_period,filling_fee,late_returns,penalty_paid,outstanding_penalty,financial_year_ending_month,form_14,audit_report,requests_waiver_etc,date_received,received_by,filed_for_action_by_registry,date_filed_by_registry_for_action,designate_by_pco,date_assigned,review_acknowledgement,date_acknoledged_notice_sent,end_of_notice_period,notice_countdown
525,KUJIA KENYA,2024,2000,,,,December,1,,,2025-01-27 11:16:15.534000,Rukia Noor,,,,,,,,
526,FANAKA DEVELOPMENT ORGANIZATION ,2024,2000,,,,December,1,,,2025-01-27 11:17:58.858000,Rukia Noor,,,,,,,,
527,COMMUNITY INITIATIVE FOR DEVELOPMENT ORGANIZATION,2024,2000,,,,December,1,,,2025-01-27 11:20:02.057000,Rukia Noor,,,,,,,,
528,AFFORESTATION AGRICULTURE LIVESTOCK IMPROVEMENT AND SOIL CONSERVATION PROGRAMME,2023/24,2000,,,,October,1,,,2025-01-27 11:21:58.433000,Rukia Noor,,,,,,,,
529,MEDAIR EAST AFRICA,2023,,,,,December,amended f14,,,2025-01-27 11:30:48.627000,Rukia Noor,,,,,,,,
530,JOYFUL SISTERS  FOUNDATION,2024,2000,,,,December,,,,2025-01-27 11:41:16.221000,Rukia Noor,,,,,,,,
531,RAIA DEVELOPMENT  INITIATIVE,2024,2000,,,,December,1,,,2025-01-27 11:43:47.863000,Rukia Noor,,,,,,,,
532,OASIS OF HELP ORGANIZATION,2024,2000,,,,December,1,,,2025-01-27 11:49:29.491000,Rukia Noor,,,,,,,,
533,TANDASA MEMORIAL EMPOWERMENT FOUNDATION,2024,2000,,,,December,1,,,2025-01-27 11:51:54.730000,Rukia Noor,,,,,,,,
534,FOUNDATION FOR COMMUNITY ULTIMATE SERVICES,2024,2000,,,,December,1,,,2025-01-27 12:42:18.030000,Rukia Noor,,,,,,,,
535,HUMANKIND INTERNATIONAL IN KENYA,2024,2000,,,,December,1,1,,2025-01-27 12:43:31.598000,Rukia Noor,,,,,,,,
536,SAMBURU GIRLS FOUNDATION,2023,2000,12,300000,,December,1,1,,2025-01-27 12:45:18.456000,Rukia Noor,,,,,,,,
537,BRAINS FOR ARTIFICIAL INTELLIGENCE AFRICA,2024,2000,,,,December,1,,,2025-01-28 09:54:51.221000,Rukia Noor,,,,,,,,
538,UMOJA AS ONE PERFECT MISSION,2024,2000,,,,December,1,,,2025-01-28 09:55:47.020000,Rukia Noor,,,,,,,,
539,SIYAD FOUNDATION ,2024,2000,,,,December,,,,2025-01-30 10:09:23.657000,Rukia Noor,,,,,,,,
540,ACCOUNTABLE LEADERSHIP FORUM,2021-2024,8000,3,,75000,December,4,,,2025-01-30 10:11:37.225000,Rukia Noor,,,,,,,,
541,KENYAN ALLIANCE FOR PROMOTION OF SELF RELIANCE AND ADVOCACY,2024,2000,,,,December,1,,,2025-01-30 10:14:18.149000,Rukia Noor,,,,,,,,
542,FANIKI AFRICA ORGANIZATION,2022,2000,1,25000,,December,1,,,2025-01-30 10:16:21.260000,Rukia Noor,,,,,,,,
543,EMPOWERED CITIZEN AGAINST POVERTY,2023,2000,1,25000,,December,1,,,2025-01-30 10:17:25.245000,Rukia Noor,,,,,,,,
544,SHERIA NA HAKI HUMAN RIGHTS INSTITUTE,2024,2000,,,,December,,,,2025-01-30 10:22:23.188000,Rukia Noor,,,,,,,,
545,THE GATE OF HOPE CHILDREN CENTER,2024,2000,,,,December,1,,,2025-01-30 10:23:34.460000,Rukia Noor,,,,,,,,
546,NAKURU CHILDREN PROGRAMME,2023/24,2000,,,,August,1,,,2025-01-30 10:24:49.567000,Rukia Noor,,,,,,,,
547,TUJIKAZE HUMANITARIAN PROGRAMME,2024,2000,,,,December,1,,,2025-01-30 10:26:03.100000,Rukia Noor,,,,,,,,
548,JOALI FOUNDATION,2023,2000,1,25000,,December,1,,,2025-01-30 10:28:23.129000,Rukia Noor,,,,,,,,
549,HOPE COMMUNITY CENTRE ,2024,2000,,,,December,1,1,,2025-01-30 10:29:39.696000,Rukia Noor,,,,,,,,
550,HATUA YOUTH ORGANIZATION,2024,2000,,,,December,1,,,2025-01-30 10:30:47.315000,Rukia Noor,,,,,,,,
551,I CAN REVOLUTIONAZE THE ENVIRONMENT SUSTAINABILITY INTERNATIONAL,2024,2000,,,,December,1,,,2025-01-30 10:32:11.632000,Rukia Noor,,,,,,,,
552,WORK HER DREAM ORGANIZATION,2023/24,2000,1,,25000,December,1,1,,2025-01-30 10:33:36.346000,Rukia Noor,,,,,,,,
553,WILLIAM GETUMBE FOUNDATION,2023,2000,1,,25000,December,1,,,2025-01-30 10:35:59.286000,Rukia Noor,,,,,,,,
554,THE HEALTH SUPPORT ORGANIZATION,2019-2023,10000,5,,125000,December,5,,,2025-02-03 10:19:06.168000,Rukia Noor,,,,,,,,
555,WOMEN RESTORED HOPE NETWORK,2021-2024,8000,3,25000,75000,December,4,,,2025-02-03 10:20:53.138000,Rukia Noor,,,,,,,,
556,KENYA ADULT LEARNERS ASSOCIATION,2023/24,2000,,,,October,1,,,2025-02-03 10:25:00.246000,Rukia Noor,,,,,,,,
557,EMULATE GREATNESS INITIATIVE,2022,2000,1,,25000,December,1,,,2025-02-03 10:26:59.996000,Rukia Noor,,,,,,,,
558,AKILI DEVELOPMENT ORGANIZATION,2024,2000,,,,December,1,,,2025-02-03 10:30:56.171000,Rukia Noor,,,,,,,,
559,ALLIANCE FOR CHILD HEALTH INCLUSIVE LEARNING AND DEVELOPMENT,2023-2024,4000,1,25000,,December,2,1,,2025-02-03 10:32:46.657000,Rukia Noor,,,,,,,,
560,KENYAN PHOENIX ORGANIZATION,2024,2000,,,,December,1,,,2025-02-03 10:36:48.366000,Rukia Noor,,,,,,,,
561,GREATER HEIGHTS INITIATIVES,2024,2000,,,,December,1,,,2025-02-03 10:39:37.185000,Rukia Noor,,,,,,,,
562,SISTERHOOD ENHANCEMENT PROGRAMME,2024,2000,,,,December,1,,,2025-02-03 10:41:08.992000,Rukia Noor,,,,,,,,
563,CHRISTADELPHIAN AGAPE IN ACTION,2024,2000,,,,December,1,,,2025-02-03 10:42:37.118000,Rukia Noor,,,,,,,,
564,AFRICA HOPE MISSION,2024,2000,,,,December,1,,,2025-02-05 09:08:21.016000,Esther Leting,,,,,,,,
565,WORLD RELIEF INTERNATIONAL,2023,2000,,,,October,1,1,,2025-02-05 09:12:39.093000,Esther Leting,,,,,,,,
566,HEALTHWISE FOUNDATION ,2022-2024,6000,2,25000,25000,December,3,,payment proposal 2yrs,2025-02-05 09:15:03.444000,Esther Leting,,,,,,,,
567,THE DENISE C. HOGAN LIBRARY,2024,2000,,,,December,1,,,2025-02-05 09:15:52.252000,Esther Leting,,,,,,,,
568,ABOVE THE SEAS - KENYA,2024,2000,,,,December,1,,,2025-02-05 09:18:28.900000,Esther Leting,,,,,,,,
569,SOCIETY FOR REFUGEES AND YOUTH IN AFRICA ,2024,2000,,,,December,1,,,2025-02-05 09:19:17.501000,Esther Leting,,,,,,,,
570,AFRICA PSORIASIS ORGANIZATION ,2024,2000,,,,December,1,,,2025-02-05 09:20:01.447000,Esther Leting,,,,,,,,
571,SUSTAINABLE ENTERPRENUEURSHIP PARTICIPATORY PROGRAMME,2024,2000,,,,December,1,,,2025-02-05 09:21:19.381000,Esther Leting,,,,,,,,
572,WORLD WIDE FUND FOR  NATURE KENYA ,,,,,,,,1,,2025-02-05 09:24:37.486000,Esther Leting,,,,,,,,
573,MAMA IBADO CHARITY ,2023,2000,1,25000,,,1,1,,2025-02-05 09:25:38.130000,Esther Leting,,,,,,,,
574,REKEBISHO,2023,2000,,,,November,1,,,2025-02-05 09:26:37.461000,Esther Leting,,,,,,,,
575,INTERNATIONAL HEALTH OPERATIONS PATIENT EDUCATION EMPOWERMENT,2024,2000,,,,December,p,,,2025-02-05 09:27:54.986000,Esther Leting,,,,,,,,
576,AFRICAN BASKETBALL DREAMERS ASSOCIATION,2023-2024,4000,1,25000,,December,2,,,2025-02-05 09:28:44.414000,Esther Leting,,,,,,,,
577,SUPPORTING ARMS DEVELOPMENT AGENCY,2024,2000,,,,,1,P,,2025-02-05 09:32:50.313000,Esther Leting,,,,,,,,
578,KIMO WELLNESS FOUNDATION ,2024,p,,,,December,1,,,2025-02-06 09:31:42.589000,Rukia Noor,,,,,,,,
579,JULIUS NJOROGE HOPE FOUNDATION,2024,2000,,,,December,1,,,2025-02-06 09:34:13.657000,Rukia Noor,,,,,,,,
580,AKILI COMMUNITY LIBRARIES,2024,2000,,,,October,1,1,,2025-02-06 09:35:20.350000,Rukia Noor,,,,,,,,
581,SWAHILI POT HUB FOUNDATION,2023,2000,1,,25000,December,1,1,,2025-02-06 09:36:51.568000,Rukia Noor,,,,,,,,
582,ENTREPRENUERIAL LEADERSHIP DEVELOPMENT KENYA,2021-2022,p,2000,,50000,December,2,,,2025-02-06 09:44:57.141000,Rukia Noor,,,,,,,,
583,LIVING HEALTH FOCUS-AFRICA,2022,2000,1,25000,,December,1,,,2025-02-06 11:01:06.947000,Rukia Noor,,,,,,,,
584,AFRICAN COOPERATIVE DEVELOPMENT FOUNDATION,2020-2023,8000,4,100000,,December,4,,,2025-02-06 15:18:13.730000,Rukia Noor,,,,,,,,
585,YOUTH ON THE MOVE,2024,2000,,,,December,1,1,,2025-02-10 11:41:09.348000,Rukia Noor,,,,,,,,
586,"KENYA WATER,ENERGY,CLEANLINESS AND HEALTH PROJECT",2024,2000,,,,December,1,,,2025-02-10 11:46:24.346000,Rukia Noor,,,,,,,,
587,EZEKIEL KOMBECH COMMUNITY MENTAL HEALTH FOUNDATION,2024,2000,,,,December,1,,,2025-02-10 11:47:44.470000,Rukia Noor,,,,,,,,
588,YOUTH AGAINST DRUG ABUSE-KENYA,2024,2000,,,,December,1,,,2025-02-10 11:51:22.127000,Rukia Noor,,,,,,,,
589,GLOBAL CANCER CARE AND RESEARCH INSTITUTE,2024,2000,,,,December,1,,,2025-02-10 12:00:35.501000,Rukia Noor,,,,,,,,
590,WATER STEP KENYA,2024,2000,,,,December,1,,,2025-02-10 12:03:14.739000,Rukia Noor,,,,,,,,
591,ACTION TWO AFRICA,2024,2000,,,,December,1,,,2025-02-10 12:03:54.463000,Rukia Noor,,,,,,,,
592,KENYA COMMUNITIES UPGRADING STANDARDS ,2024,2000,,,,December,7,,,2025-02-10 12:04:48.007000,Rukia Noor,,,,,,,,
593,KENYA ORPHANS RURAL DEVELOPMENT PROGRAMME,2024,2000,,,,December,1,,,2025-02-10 12:05:30.595000,Rukia Noor,,,,,,,,
594,COMMUNITY EMPOWERMENT IN GENDER HEALTH AND ENVIRONMENT PROGRAMME,2023/24,2000,1,,25000,March,1,,,2025-02-10 12:06:42.109000,Rukia Noor,,,,,,,,
595,BAMBOOBELT AFRICA INTERNATIONAL FOUNDATION,2024,2000,,,,December,1,,,2025-02-10 12:07:32.293000,Rukia Noor,,,,,,,,
596,CHILDRENS` SPORTS AND LEARNING CENTRE,2024,2000,,,,December,1,1,,2025-02-10 12:08:13.467000,Rukia Noor,,,,,,,,
597,THE FEDERATION OF THE ASSOCIATION THAT VALUE HUMANITY,2023,2000,1,,25000,December,1,,,2025-02-10 12:10:46.318000,Rukia Noor,,,,,,,,
598,ANDREW GUAH GLOBAL PEACE MISSION FOUNDATION KENYA,2024,2000,,,,December,1,,,2025-02-10 12:13:35.086000,Rukia Noor,,,,,,,,
599,GLOBAL PARTNERSHIP ORGANIZATION,2024,2000,,,,December,,,,2025-02-10 12:14:34.190000,Rukia Noor,,,,,,,,
600,AFRICAN PEAK MISSION,2023-2024,4000,1,25000,,December,2,,,2025-02-10 12:17:25.505000,Rukia Noor,,,,,,,,
601,MANGA HEART COMMUNITY BASED ORGANIZATION,2022,,,,,,,1,,2025-02-10 12:24:17.726000,Rukia Noor,,,,,,,,
602,KONNECT YOUTH CONSORTIUM,2023/24,2000,,,,September,1,1,,2025-02-10 14:33:32.768000,Rukia Noor,,,,,,,,
603,ZAWADI COMMUNITY PROGRAMME,2022-2024,6000,2,,50000,December,3,,,2025-02-10 14:35:20.029000,Rukia Noor,,,,,,,,
604,AGRICULTURAL ORIENTED NGO,2024,2000,,,,December,1,,,2025-02-11 08:55:48.524000,Rukia Noor,,,,,,,,
605,GLOBAL AWAKENING INTERNATIONAL,2022-2024,6000,2,50000,,December,3,,,2025-02-11 08:57:58.874000,Rukia Noor,,,,,,,,
606,URAFIKI INITIATIVE DEVELOPMENT ORGANIZATION,2024,2000,,,,December,1,p,,2025-02-11 08:59:06.004000,Rukia Noor,,,,,,,,
607,BEYOND SUPPORT FOUNDATION,2022,2000,1,25000,,December,1,,,2025-02-11 09:00:40.188000,Rukia Noor,,,,,,,,
608,ACTION FOR SUSTAINABLE CHANGE ,2024,2000,,,,December,1,,,2025-02-11 10:57:54.337000,Rukia Noor,,,,,,,,
609,PHYSICIANS ACROSS CONTINETS,2024,2000,,,,December,1,,,2025-02-11 10:59:55.351000,Rukia Noor,,,,,,,,
610,INSTITUTE FOR PUBLIC SERVICES-KENYA,2024,2000,,,,December,1,,,2025-02-11 11:01:19.147000,Rukia Noor,,,,,,,,
611,OPEN HEARTS AND MINDS FOUNDATION,2024,2000,,,,December,1,1,,2025-02-13 10:36:21.911000,Rukia Noor,,,,,,,,
612,CHURCH ALLIANCE FOR SOCIAL TRANSFORMATION-KENYA,2024,2000,,,,December,1,1,,2025-02-13 10:37:55.882000,Rukia Noor,,,,,,,,
613,CENTER FOR PASTORALIST EMPOWERMENT  & RESILLENCE,2024,2000,,,,December,1,,,2025-02-13 10:39:32.810000,Rukia Noor,,,,,,,,
614,KANAM FOR EDUCATION,2024,2000,,,,December,1,,,2025-02-13 10:41:03.849000,Rukia Noor,,,,,,,,
615,FR.MAKEWA FOUNDATION,2024,2000,,,,December,1,,,2025-02-13 10:42:38.248000,Rukia Noor,,,,,,,,
616,PASTORALIST  PEACE AND RECONCILIATION INITIATIVE,2024,2000,,,,December,1,,,2025-02-13 10:47:15.898000,Rukia Noor,,,,,,,,
617,RURAL FAMILY HOPE,2023,2000,1,25000,,December,1,1,,2025-02-13 10:50:37.975000,Rukia Noor,,,,,,,,
618,EASTERN COMMUNITY DEVELOPMENT PROGRAMME,2023/24,,,,,June,,1,,2025-02-13 10:51:44.576000,Rukia Noor,,,,,,,,
619,SADILIOVAL SPORTS ACEDEMY,2024,2000,,,,December,1,1,,2025-02-13 10:53:38.350000,Rukia Noor,,,,,,,,
620,DIVINE INTERNATIONAL WORD OUTREACH,2024,2000,,,,December,1,,,2025-02-13 10:54:43.661000,Rukia Noor,,,,,,,,
621,LIVE AND LEARN IN KENYA INTERNATIONAL,2024,2000,,,,December,1,1,,2025-02-13 10:55:59.291000,Rukia Noor,,,,,,,,
622, GROW AGAINST POVERTY-KENYA,2011-2021 ,24000,10,300000,0,June,10,,,2025-02-17 09:09:38.765000,Rukia Noor,,,,,,,,
623,LEGAL SISTER,2024,2000,,,,December,1,,,2025-02-17 09:13:31.074000,Rukia Noor,,,,,,,,
624,PAUL LONYUDUK FOUNDATION,2024,2000,,,,December,1,,,2025-02-17 09:14:52.085000,Rukia Noor,,,,,,,,
625,LOISE WAMBUI GICHUHI ,2024,2000,,,,December,1,,,2025-02-17 09:17:50.515000,Rukia Noor,,,,,,,,
626,CIVICOM AID,2024,2000,,,,December,1,,,2025-02-17 09:18:37.794000,Rukia Noor,,,,,,,,
627,GLAD`S HOUSE KENYA,2023/24,2000,1,,25000,May,1,1,,2025-02-17 09:20:00.199000,Rukia Noor,,,,,,,,
628,ENABLING TRENDS ORGANIZATION,2024,2000,,,,December,1,,,2025-02-17 09:20:50.204000,Rukia Noor,,,,,,,,
629,NOMADIC HERITAGE AID,2024,2000,,,,December,1,,,2025-02-17 09:26:40.539000,Rukia Noor,,,,,,,,
630,NEEMA COUNSELING CENTER,2024,2000,,,,December,1,,,2025-02-17 09:29:14.563000,Rukia Noor,,,,,,,,
631,PIONEER CHILD DEVELOPMENT PROGRAMME,2023/24,,,,,,,1,,2025-02-17 09:31:15.555000,Rukia Noor,,,,,,,,
632,WATOTO WENYE NGUVU INTERNATIONAL ORPHANAGE,2024,2000,,,,December,1,1,,2025-02-17 09:33:48.095000,Rukia Noor,,,,,,,,
633,PRAGMATIC SOCIAL ACTION,2024,2000,,,,December,1,,,2025-02-17 14:47:58.622000,Rukia Noor,,,,,,,,
634,KILA MTOTO AFAIDIKE PROGRAMME,2024,2000,,,,December,1,1,,2025-02-17 14:49:01.806000,Rukia Noor,,,,,,,,
635,TRANSNZOIA ORGANIZTION FOR SUSTAINABLE DEVELOPMENT AND ENVIRONMENT CONSERVATION,2024,2000,,,,December,1,,,2025-02-17 14:51:01.275000,Rukia Noor,,,,,,,,
636,FOOD AND CLIMATE ACTION AGRICULTURE TECHNOLOGIES,2024,2000,,,,December,1,,,2025-02-17 14:57:25.766000,Rukia Noor,,,,,,,,
637,AMOT GIRLS FOUNDATION INCORPORATED -KENYA,2024,2000,,,,December,1,,,2025-02-17 14:58:26.804000,Rukia Noor,,,,,,,,
638,RESPONSIBLE GAMING FEDERATION OF KENYA,2022-2023,2000,2,,50000,December,2,,,2025-02-17 15:02:41.842000,Rukia Noor,,,,,,,,
639,BARWAQA RELIEF ORGANIZATION,2024,2000,,,,December,1,,,2025-02-17 15:04:07.551000,Rukia Noor,,,,,,,,
640,MERCY COMMUNITY DEVELOPMENT ORGANIZATION,2024,2000,,,,December,1,,,2025-02-19 00:00:00,Rukia Noor,,,,,,,,
641,INTERNATIONAL CANCER INSTITUTE FOUNDATION,202120222024,60000,2,50000,,December,3,,,2025-02-19 00:00:00,Rukia Noor,,,,,,,,
642,MAMA RESPOND INTERNATIONAL,2022,2000,1,25000,,December,1,,,2025-02-19 09:50:12.020000,Rukia Noor,,,,,,,,
643,THIRD ANGELS MESSAGE CENTRE,2024,2000,,,,December,1,,,2025-02-19 09:51:25.504000,Rukia Noor,,,,,,,,
644,SOCIAL LIFE COORDINATING ORGANIZATION,2023/24,2000,,,,September,1,,,2025-02-19 09:52:52.147000,Rukia Noor,,,,,,,,
645,AMOUD FOUNDATION,2024,2000,,,,December,1,1,,2025-02-19 09:55:36.798000,Rukia Noor,,,,,,,,
646,KITE NAIROBI ORGANIZATION,2024,2000,,25000,,December,1,,penalty for fy 2023,2025-02-19 09:58:43.640000,Rukia Noor,,,,,,,,
647,THE INITIATIVE OF TAKE HEART KENYA,2021-2024,8000,3,75000,,December,4,4,,2025-02-19 10:01:44.652000,Rukia Noor,,,,,,,,
648,CARE FOR THE WILD KENYA,2024,2000,,,,December,1,,,,Rukia Noor,,,,,,,,
649,NORTHERN KENYA ACCESS TO JUSTICE INITIATIVE,2021-2024,8000,4,,75000,December,4,,,,Rukia Noor,,,,,,,,
650,ZANI GLOBAL ,2024,2000,,,,December,1,,,2025-02-20 10:09:12.894000,Rukia Noor,,,,,,,,
651,BIDII GIRLS  PROGRAMME,2024,2000,,,,December,1,,,2025-02-20 10:17:12.750000,Rukia Noor,,,,,,,,
652,OMAR MOHAMED FOUNDATION,2024,2000,,,,December,1,,,2025-02-20 10:18:33.798000,Rukia Noor,,,,,,,,
653,GLORYWONDER ORGANIZATION,2024,2000,,,,December,1,,,2025-02-20 10:20:25.115000,Rukia Noor,,,,,,,,
654,ST PAULS CHILDREN CARE CENTRE,2013-2024,24000,11,200000,75000,December,12,,,2025-02-20 10:34:27.526000,Rukia Noor,,,,,,,,
655,FAMILY LIFE EDUCATORS AND COUNSELLORS,2024,2000,,,,December,1,,,2025-02-20 10:35:34.840000,Rukia Noor,,,,,,,,
656,CENTRE FOR ENTREPRENUERIAL SKILLS AND TRAINING,2024,2000,,,,December,1,,,2025-02-20 10:38:45.477000,Rukia Noor,,,,,,,,
657,MWANZO BORA INITIATIVE,2024,2000,,,,December,1,,,2025-02-20 10:58:40.700000,Rukia Noor,,,,,,,,
658,THE NUBIAN RIGHTS FORUM,2024,2000,,,,December,1,,,2025-02-20 10:59:47.507000,Rukia Noor,,,,,,,,
659,TOGETHER WITH KENYA FOUNDATION,2024,2000,,,,December,1,1,,2025-02-20 11:01:52.562000,Rukia Noor,,,,,,,,
660,MASENO HIV/AIDS AWARENESS AND DEVELOPMENT ORGANIZATION,2024,2000,,,,December,1,1,,2025-02-20 11:03:26.635000,Rukia Noor,,,,,,,,
661,TEDDY MWAMBIRE FOUNDATION,2022-2024,6000,2,50000,,December,3,,,2025-02-20 11:16:22.499000,Rukia Noor,,,,,,,,
662,SISTERHOOD IN ACTION FOR DEVELOPMENT & EDUCATION,2024,2000,,,,December,1,,,2025-02-20 11:20:31.806000,Rukia Noor,,,,,,,,
663,PEOPLE FOR PEACE KENYA,2023/24,2000,1,25000,,March,1,1,,2025-02-20 11:21:36.766000,Rukia Noor,,,,,,,,
664,ASAL CENTRE FOR EDUCATIONAL RESERACH & DEVELOPMENT ORG,2024,2000,,,,December,1,,,2025-02-20 11:22:57.644000,Rukia Noor,,,,,,,,
665,TEENAGE GILRS EMPOWERMENT FOUNDATION,2024,2000,,,,December,1,,,2025-02-20 11:24:16.634000,Rukia Noor,,,,,,,,
666,HEARTS OF GREEN,2024,2000,,,,December,1,,,2025-02-20 11:25:06.924000,Rukia Noor,,,,,,,,
667,NGUZA MAISHA ORGANIZATION,2024,2000,,,,December,1,,,2025-02-20 11:26:06.431000,Rukia Noor,,,,,,,,
668,I SERVE AFRICA,2023,2000,,,,August,1,1,,2025-02-20 16:20:59.712000,Esther Leting,,,,,,,,
669,TWO FIVE FOUR CARES,2020-2024,10000,4,100000,,December,5,reinstatement fee 36000,,2025-02-21 12:52:27.814000,Rukia Noor,,,,,,,,
670,porridge 4 life foundation,2024,2000,,,,December,1,,,2025-02-21 14:51:16.846000,Rukia Noor,,,,,,,,
671,UPENDO LIFE SOLUTIONS,2024,2000,,,,December,1,,,2025-02-24 09:58:32.816000,Rukia Noor,,,,,,,,
672,SHADRACK KIMANI INITIATIVE,2024,2000,,,,December,1,,,2025-02-24 10:00:00.492000,Rukia Noor,,,,,,,,
673,STREAMS OF LIFE KENYA,2024,2000,,,,December,1,,,2025-02-24 10:01:26.552000,Rukia Noor,,,,,,,,
674,THE TRUE HOPE KENYA,2024,2000,,,,December,1,,,2025-02-24 10:03:58.012000,Rukia Noor,,,,,,,,
675,PHYSICIANS FOR HUMAN RIGHTS,2023/24,2000,1,25000,,June,1,p,,2025-02-24 10:05:12.484000,Rukia Noor,,,,,,,,
676,LIVING WITH PEACE-KENYA,2024,2000,,,,December,1,,,2025-02-24 10:11:10.456000,Rukia Noor,,,,,,,,
677,WORLD LEADERS OF TODAY,2019-2024,12000,5,125000,,December,6,6,"reinstatement 36,000",2025-02-24 10:14:26.227000,Rukia Noor,,,,,,,,
678,PLAN INTERNATIONAL KENYA,2023/24,,,,,,,1,,2025-02-24 10:16:15.690000,Rukia Noor,,,,,,,,
679,OXFAM GREAT BRITAIN,2023/24,,,,,,amended f14,1,,2025-02-24 10:18:11.020000,Rukia Noor,,,,,,,,
680,NGOMONGO COMMUNITY MEDICAL CENTRE,2024,2000,,,,December,1,,,2025-02-24 10:19:17.437000,Rukia Noor,,,,,,,,
681,NUTRITION FOR HEALTH AND EVELOPMENT INITIATIVE,2024,2000,,,,December,1,,,2025-02-24 11:05:30.654000,Rukia Noor,,,,,,,,
682,NEEMA HEALTH EDUCATION AND EMPOWERMENT PROGRAMME,2024,2000,,,,December,1,1,,2025-02-25 11:23:22.899000,Rukia Noor,,,,,,,,
683,GILEAD INCLUSIVE GLOBAL ORGANIZATION,2024,2000,,,,December,1,,,2025-02-25 11:40:14.778000,Rukia Noor,,,,,,,,
684,AFRICAN COMPLEMENTARY ALTERNATIVE MEDICINE ORGANIZATION,2024,2000,,,,December,1,,,2025-02-25 11:44:05.083000,Rukia Noor,,,,,,,,
685,ROOTS AGENCY FOR CAPACITY DEVELOPMENT,2024,2000,,,,December,1,,,2025-02-25 11:44:44.704000,Rukia Noor,,,,,,,,
686,AFRICAN WOMEN`S ENTREPRENUERSHIP PROGRAM,2024,2000,,,,December,1,1,,2025-02-25 15:12:48.498000,Rukia Noor,,,,,,,,
687,THE DOOR KENYA,2024,2000,,,,December,1,p,,2025-02-25 15:15:50.086000,Rukia Noor,,,,,,,,
688,NAPASTAA FOUNDATION KENYA,2024,2000,,,,December,1,,,2025-02-25 15:18:30.929000,Rukia Noor,,,,,,,,
689,SOLVE KENYA,2024,2000,,,,December,1,,,2025-02-25 15:20:24.474000,Rukia Noor,,,,,,,,
690,RURAL WOMEN EMPOWERMENT AND DEVELOPMENT ORGANIZATION,2024,2000,,,,December,1,,,2025-02-26 09:26:44.801000,Rukia Noor,,,,,,,,
691,TREES FOR BETTER AFRICA,2024,2000,,,,December,1,1,,2025-02-26 14:29:08.895000,Stephen Monyoncho,,,,,,,,
692,CEREBRAL PALSY & AUTISTIC INITIATIVE,2024,2000,,,,December,1,,,2025-02-26 14:47:40.703000,Stephen Monyoncho,,,,,,,,
693,CHRISTIAN BUSINESS INTERNATIONAL KENYA,2024,2000,,,,December,1,1,,2025-02-26 15:18:09.325000,Stephen Monyoncho,,,,,,,,
694,NYABEKO COMPASSION INTERNATIONAL,2024,2000,,,,December,1,,,2025-02-26 16:11:07.738000,Stephen Monyoncho,,,,,,,,
695,HARAMBEE CHILDREN THERAPY CENTRE,2024,,,,,December,,1,,2025-02-28 10:39:12.022000,Rukia Noor,,,,,,,,
696,UJAMAA NA WATOTO WENYE HAKI INITIATIVE,2023,,,,,December,,1,,2025-03-03 08:59:06.797000,Rukia Noor,,,,,,,,
697,RECOVERY MISSION FOR LIFE,2024,2000,,,,December,1,,,2025-03-03 09:09:28.880000,Rukia Noor,,,,,,,,
698,BLESSED CHILDREN HOPE FOUNDATION,2024,2000,,,,December,1,,,2025-03-03 09:11:35.885000,Rukia Noor,,,,,,,,
699,WALE WALE KENYA,2024,2000,,,,December,1,p,,2025-03-03 09:13:17.611000,Rukia Noor,,,,,,,,
700,"CHANGING LENSES, CHANGING LIVES-KENYA",2024,2000,,,,December,1,1,,2025-03-03 09:14:12.164000,Rukia Noor,,,,,,,,
701,RAJAB HAMIS FOUNDATION,2024,2000,,,,December,1,,,2025-03-03 09:14:59.852000,Rukia Noor,,,,,,,,
702,GILBERT MUTEMA FOUNDATION,2024,2000,,,,December,1,,,2025-03-03 09:15:36.713000,Rukia Noor,,,,,,,,
703,ORGANIZATION FOR YOUTH IN ENVIRONMENTAL & EDUCATIONAL AFFAIRS,2023/24,2000,,,,August,1,,,2025-03-03 09:17:20.830000,Rukia Noor,,,,,,,,
704,DAIMA INITIATIVE FOR PEACE AND DEVELOPMENT ,2023/24,2000,,,,December,1,1,,2025-03-03 09:18:36.313000,Rukia Noor,,,,,,,,
705,GREEN AFRICA GLOBAL FOUNDATION,2024,2000,,,,December,1,1,,2025-03-03 09:19:24.061000,Rukia Noor,,,,,,,,
706,SUSTAINABLE AGRICULTURE NATURAL RESOURCES,2024,2000,,,,December,1,1,,2025-03-03 09:22:55.357000,Rukia Noor,,,,,,,,
707,MODIFY LIFESTYLE INITIATIVE,2024,2000,,,,December,1,,,2025-03-03 09:23:36.686000,Rukia Noor,,,,,,,,
708,BEGINNERS DEVELOPMENT SUPPORT PROGRAMME,2024,2000,,,,December,1,,,2025-03-03 09:24:19.784000,Rukia Noor,,,,,,,,
709,GLOBAL ACTION FOR COMMUNITY DEVELOPMENT,2024,2000,,,,December,1,,,2025-03-03 09:25:13.426000,Rukia Noor,,,,,,,,
710,WORLD RADIANCE INTERNATIONAL,2024,2000,,,,December,1,,,2025-03-03 09:26:13.111000,Rukia Noor,,,,,,,,
711,UPLIFT CHILDREN IN NEED NGO,2024,2000,,,,December,1,,,2025-03-03 09:27:12.630000,Rukia Noor,,,,,,,,
